(Compounds Polynucleotides)	SMILES
CPD-11522	CC\C=C/C[C@H]1([C@H](CCC(=O)1)CCC/C=C/C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O)
CPD-11518	CC\C=C/C[C@H]1([C@H](CCC(=O)1)CCCCC/C=C/C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O)
CPD-11525	CC\C=C/C[C@H]1([C@H](CCC(=O)1)CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])
CPD-11521	CC\C=C/C[C@H]1([C@H](CCC(=O)1)CCCCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-])=O)
CPD-13700	C[C@H](C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])[C@H]6(CC[C@H]7([C@@H]5(CCC4(\[C@@](CCC(=O)\C=4)(C)[C@H]5CC[C@](C)67))))
CPD0-2364	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(C\C=C/CC([O-])=O)=O)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPDMETA-13650	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(C\C=C/CC=O)=O)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
2-AMINOMALONATE-SEMIALDEHYDE	C(=O)[C@H]([NH3+])C(=O)[O-]
3-KETO-ADIPATE	C(=O)([O-])CC(=O)CCC(=O)[O-]
3-KETO-ADIPYL-COA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(CC(CCC([O-])=O)=O)=O)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD0-2123	CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD0-2105	CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
K-HEXANOYL-COA	CCCC(CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)=O
CPD-10284	CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD0-2106	CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-13534	CCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
MALONATE-S-ALD	C(=O)CC([O-])=O
CPD-20689	C/C=C/CC(=O)[O-]
CPD-20684	C/C=C/CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
PHENYL-PYRUVATE	C([O-])(=O)C(=O)CC1(\C=C/C=C\C=1)
3-PHENYLPROPIONATE	C(CCC1(\C=C/C=C\C=1))([O-])=O
CPD-14673	C(#N)CCC1(\C=C/C=C\C=1)
G3P	C(OP(=O)([O-])[O-])[C@@H](O)C(=O)[O-]
DPG	C([C@@H](O)C(OP(=O)([O-])[O-])=O)OP(=O)([O-])[O-]
3-P-HYDROXYPYRUVATE	C(OP([O-])(=O)[O-])C(=O)C(=O)[O-]
CPD-7387	C1(C[NH2+]CC(O)1)
CPD-21109	CCCC(S)CCO
CPD-21111	CCC(S)CCO
3-SULFINOALANINE	C([C@H]([NH3+])C(=O)[O-])S([O-])=O
CPD-10419	C(\C=C/C(/S(=O)(=O)[O-])=C\C(=O)[O-])([O-])=O
CPD-380	C(=O)([O-])C(=O)CS(=O)(=O)[O-]
3-UREIDO-PROPIONATE	C(NC(=O)N)CC([O-])=O
CPDQT-36	C(C(CCCSC)C(O)C(=O)[O-])(=O)[O-]
CPD-13757	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)[C@@H]1([C@H](O)CC[C@]2(C)(C(=O)CC[C@@H]12)))COP(=O)(OP(=O)(OC[C@@H]3([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O3)N4(C5(\N=C/N=C(C(\N=C/4)=5)/N))))[O-])[O-]
CPD-13758	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[C@@H]1([C@H](O)CC[C@]2(C)(C(=O)CC[C@@H]12)))COP(=O)(OP(=O)(OC[C@@H]3([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O3)N4(C5(\N=C/N=C(C(\N=C/4)=5)/N))))[O-])[O-]
CPD-21411	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@@H]1([C@H](O)CC[C@]2(C)(C(=O)CC[C@@H]12)))COP(=O)(OP(=O)(OC[C@@H]3([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O3)N4(C5(\N=C/N=C(C(\N=C/4)=5)/N))))[O-])[O-]
CPD-13711	C[C@]12(CCC(=O)[C@@H](CCC(=O)[O-])[C@H](CCC(=O)1)2)
CPD-13754	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC[C@@H]1(C(=O)CC[C@]2(C)(C(=O)CC[C@@H]12)))COP(=O)(OP(=O)(OC[C@@H]3([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O3)N4(C5(\N=C/N=C(C(\N=C/4)=5)/N))))[O-])[O-]
CPDQT-37	CSCCCCC(C(O)C(=O)[O-])C(=O)[O-]
CPD-13993	C2(Cl)(\N=C(NC1(\C=C(\C=C/C=1)\S([O-])(=O)=O))/N=C(N)\N=2)
CPDQT-38	CSCCCCCC(C(O)C(=O)[O-])C(=O)[O-]
CPDQT-39	CSCCCCCCC(C(O)C(=O)[O-])C(=O)[O-]
CPDQT-40	CSCCCCCCCC(C(O)C(=O)[O-])C(=O)[O-]
CPD-12199	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@H](O)C1(\C=C/C(/O)=C\C=1))COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]
CPD-13352	CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1([C@@H](OP([O-])([O-])=O)O[C@@H]([C@@H](O)[C@H](OC(C[C@H](O)CCCCCCCCCCC)=O)1)CO[C@@H]4(O[C@H](CO[C@@]3(C(=O)[O-])(O[C@H]([C@H](O)CO)[C@H](O)[C@H](O[C@]2(O[C@H]([C@@H](CO)O)[C@H](O)[C@H](O)C2)C(=O)[O-])C3))[C@H]([C@@H]([C@H]4NC(C[C@H](O)CCCCCCCCCCC)=O)OC(=O)C[C@H](O)CCCCCCCCCCC)OP([O-])(=O)O[C@H]5(OC[C@H]([NH3+])[C@H](O)[C@@H](O)5)))
L-ARA4N-MODIFIED-KDO2-LIPID-A	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]4([C@H]([C@H](OC[C@H]1(O[C@H](OP([O-])([O-])=O)[C@H](NC(C[C@H](O)CCCCCCCCCCC)=O)[C@@H](OC(C[C@H](O)CCCCCCCCCCC)=O)[C@H](O)1))O[C@H](CO[C@]3(C([O-])=O)(O[C@H]([C@@H](CO)O)[C@H](O)[C@H](O[C@@]2(C([O-])=O)(O[C@H]([C@@H](CO)O)[C@H](O)[C@H](O)C2))C3))[C@H]4OP([O-])(O[C@@H]5([C@@H]([C@H]([C@H](CO5)[NH3+])O)O))=O)NC(C[C@H](OC(CCCCCCCCCCC)=O)CCCCCCCCCCC)=O)
PANTETHEINE-P	CC([C@@H](O)C(=O)NCCC(NCCS)=O)(C)COP([O-])(=O)[O-]
PHOSPHOPANTOTHEINE-GROUP	CC([C@@H](O)C(=O)NCCC(NCCS)=O)(C)COP([O-])(=O)[O-]
CPD-253	C(=O)\C=C(C[C@H]([NH3+])C(=O)[O-])/C=C(C([O-])=O)/O
CPD-16179	C(CC1(\C=C/C(/O)=C\C=1))=[NH2+]
4-CYTIDINE-5-DIPHOSPHO-2-C	C[C@](O)(CO)[C@H](O)COP(OP([O-])(=O)OC[C@@H]2([C@H]([C@@H](O)[C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O))([O-])=O
GAMMA-GLUTAMYL-GAMMA-AMINOBUTYRALDEH	C(=O)CCCNC(=O)CC[C@H]([NH3+])C(=O)[O-]
CPD-9000	C(=O)(NCCCC([O-])=O)CC[C@H]([NH3+])C(=O)[O-]
CPD-21192	C(SC2(\C=C(\N=C(C1(\C=C/C=C\C=1))/N=2)\Cl))[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
CPD-479	CSCCC(C([O-])=O)=O
CPD-20683	CC(OP([O-])([O-])=O)CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-30	CC(NCCCC=O)=O
CPD-35	CC(=O)NCCCC(=O)[O-]
CPD-22670	CC(=O)OC1(\C=C/C(/O)=C\C=1)
AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP	CC1(\N=C(C(/COP([O-])(=O)OP([O-])(=O)[O-])=C\N=1)\N)
AMINO-HYDROXYMETHYL-METHYL-PYR-P	CC1(\N=C/C(/COP(=O)([O-])[O-])=C(N)\N=1)
CPD0-1189	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP([O-])(=O)O[C@H]1([C@@H]([C@@H](O)[C@@H]([NH3+])CO1)O)
4-AMINO-4-DEOXYCHORISMATE	C=C(C(=O)[O-])O[C@H]1([C@H]([NH3+])\C=C/C(/C([O-])=O)=C\1)
P-AMINO-BENZOATE	C(=O)([O-])C1(\C=C/C(/N)=C\C=1)
4-AMINO-BUTYRALDEHYDE	C(C[NH3+])CC=O
4-AMINO-BUTYRATE	C(C[NH3+])CC([O-])=O
CPD-259	C1(\C(\N)=C/C=C(\C=1)/O)
CPD-13530	COC(\C=C(\C=C(C(=O)[O-])/O)/C([O-])=O)=O
CPD-87	C(/C=O)=C(/C=C(C(=O)[O-])/O)\C(=O)[O-]
CPD-15668	CCCCCC\C=C/CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
COUMARATE	C(=O)([O-])/C=C/C1(\C=C/C(/O)=C\C=1)
CPD0-888	CC(C)=CCCC(\C)=C/CCC(\C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP([O-])(=O)O[C@H]1([C@@H]([C@@H](O)[C@@H](NC=O)CO1)O)
CPD-17709	C(C1(\O[C@H]([C@H]([C@H](\C=1)O)O)O[C@@H]2([C@@H](O[C@H]([C@H]([C@H]2O)O)O)C([O-])=O)))([O-])=O
CPD-17708	C(C1(\O[C@H]([C@H]([C@H](\C=1)O)O)O[C@@H]2([C@H](O[C@H]([C@H]([C@H]2O)O)O)C([O-])=O)))([O-])=O
CPD-17705	C(C1(\OC([C@H]([C@H](\C=1)O)O)O))([O-])=O
4-FUMARYL-ACETOACETATE	C([O-])(=O)/C=C/C(=O)CC(=O)CC([O-])=O
CPD-592	C([O-])(=O)CCCNC(N)=[NH2+]
CPD-825	C(CCC=O)NC(N)=[NH2+]
4-GUANIDO-BUTYRAMIDE	C(NC(N)=[NH2+])CCC(=O)N
CPD-10806	CCCCCC(O)/C=C/C=O
CPD-11881	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)C1(\C=C(C(/O)=C\C=1)\OC))COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]
CPD-10598	CC(=O)C1(\C=C/C(/O)=C\C=1)
4-HYDROXYBENZALDEHYDE	C(C1(\C=C/C(/O)=C\C=1))=O
4-hydroxybenzoate	C(C1(\C=C/C(/O)=C\C=1))(=O)[O-]
CPD-201	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(C1(\C=C/C(/O)=C\C=1))=O)COP(=O)(OP(=O)(OC[C@@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]
4-HYDROXY-BUTYRATE	C(CCC([O-])=O)O
CPD-10457	CC1(/C(/[N+](=O)[O-])=C\C(\NO)=C/C(/[N+]([O-])=O)=1)
CPD-20688	CC(O)CCC(=O)[O-]
CPD-20682	CC(O)CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
4-IMIDAZOLONE-5-PROPIONATE	C(CCC1(C(=O)\N=C/N1))([O-])=O
4-MALEYL-ACETOACETATE	C([O-])(=O)\C=C/C(=O)CC(=O)CC([O-])=O
2K-4CH3-PENTANOATE	CC(C)CC(C([O-])=O)=O
CPD-10826	CC(C(=O)CC(=O)[O-])CC(=O)[O-]
CPD-10825	CC1(\CC(=O)OC(/CC([O-])=O)=1)
CPD-10832	CC(C(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])CC([O-])=O
CPD-21115	CC(O)CC(C)(S)C
CPD-21116	CC(=O)CC(C)(S)C
THZ-P	CC1(\N=C/SC(/CCOP([O-])(=O)[O-])=1)
CPD-8773	CC1(\C=C/C(/C=O)=C\C=1)
4-METHYLBENZYL-ALCOHOL	CC1(\C=C/C(/CO)=C\C=1)
CPD-18272	CC1(\C(\O)=C/C(/C(=O)[O-])=C(\C=1)/O)
CPD-18023	CC(C)/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-17493	CC(C)CCC([O-])=O
CPD-17494	CC(C)CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-108	CC1(\C=C/C(/O)=C\C=1)
CPD-18105	CC2(\C=C/C(/O[C@@H]1([C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O1))=C\C=2)
CPD-20828	CC%13(\C=C/C(/O[C@H]%12(O[C@H](COP([O-])(=O)[O-])[C@@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@@]1([C@@H](CC(N)=O)[C@@H]2([C@@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C4(\C(/C)=C7([C@@](CC(=O)N)([C@H](CCC(N)=O)C8(\C=C5(C(C)(C)[C@H](CCC(N)=O)C6(\C(/C)=C1/N2[Co-2]([N+]\3=4)([N+]\5=6)([N+]7=8)C[C@@H]9([C@H]([C@@H](O)[C@@H](O9)N%10(\C=N/C%11(\C/%10=N/C=N\C(/N)=%11)))O)))))C)))))(C))[C@@H](O)%12))=C\C=%13)
CPD-182	CC1(\C2(/C=C\C(\O)=C/C(/OC(\C=1)=O)=2))
CPD-11641	CC2(\C3(/C=C\C(\O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))=C/C(/OC(=O)\C=2)=3))
4-NITROANILINE	C1(/C=C(\C=C/C(/[NH3+])=1)/[N+]([O-])=O)
CPD-703	C(=O)C1(\C=C/C(/[N+]([O-])=O)=C\C=1)
CPD-702	C(O)C1(\C=C/C(/[N+]([O-])=O)=C\C=1)
CPD-158	C1(\C(\[N+]([O-])=O)=C/C(/O)=C(\C=1)/O)
CPD-21754	C1(/C=C(C(/OS(=O)(=O)[O-])=C\C(\[N+]([O-])=O)=1)/O)
P-NITROPHENOL	C1(/C=C(\C=C/C(/[N+](=O)[O-])=1)/[O-])
CPD0-2413	CCCC(=O)OC1(\C=C/C(/[N+]([O-])=O)=C\C=1)
CPD-21488	CCCCCCCCCCCCCCCC(=O)OC1(\C=C/C(/[N+](=O)[O-])=C\C=1)
CPD-10453	CC1(/C(/[N+](=O)[O-])=C\C(\N=O)=C/C(/[N+]([O-])=O)=1)
CPD-16942	CC(=O)CCC(=O)[O-]
CPD-20681	CC(=O)CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-22510	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCC1(\C=C/C=C\C=1))COP(=O)(OP(=O)(OC[C@H]2(O[C@H]([C@@H]([C@@H]2OP([O-])(=O)[O-])O)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]
CPD-22514	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCCCC1(\C=C/C=C\C=1))COP(=O)(OP(=O)(OC[C@H]2(O[C@H]([C@@H]([C@@H]2OP([O-])(=O)[O-])O)N3(C4(\N=C/N=C(C(\N=C/3)=4)/N))))[O-])[O-]
ERYTHRONATE-4P	C(OP(=O)([O-])[O-])[C@H]([C@H](C([O-])=O)O)O
4-PHOSPHONOOXY-THREONINE	C(=O)([O-])[C@@H]([NH3+])[C@H](O)COP([O-])(=O)[O-]
CPD-10418	C1(\C(\S(=O)(=O)[O-])=C/C(/O)=C(\C=1)/O)
CPD-10420	C([O-])(=O)CC1(S(=O)(=O)[O-])(\C=C/C(=O)O1)
CPD-15678	CCCCCC/C=C/C(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-15677	CCCCCC/C=C/CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD3O-4151	C1(\C(/CCO)=C/C=C(\C=1)/O)
CPD-16177	C\[NH+]=C/CC1(\C=C/C(/O)=C\C=1)
CPD-16176	C[NH2+]/C=C/C1(\C=C/C(/O)=C\C=1)
CPD-16178	C(\N)=C\C1(\C=C/C(/O)=C\C=1)
CH33ADO	C[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C3(C(/N)=N\C=N/C2=3)))
L-DI-GMP	C([C@H]3(O[C@@H](N1(\C=N/C2(C(=O)NC(/N)=N/C1=2)))[C@H](O)[C@H](O)3))OP(O[C@H]6([C@@H](O)[C@H](N4(\C=N/C5(C(=O)NC(/N)=N/C4=5)))O[C@H](COP(=O)([O-])[O-])6))(=O)[O-]
P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	C(OP(=O)([O-])[O-])[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C(\C(=O)NC(C([O-])=O)CC(=O)[O-])=C(N)\2))
CPD-19109	C1(\C=C/C2(/NC3(/C=C\C=C/C(/NC(/C=1)=2)=3)))
CPD-12988	C([O-])(=O)C1(\C2(\NC3(/C=C\C=C(C(\NC(/C=C\C=1)=2)=3)\C(=O)[O-])))
CPD-12874	C(=O)([O-])C1(\C2(\NC3(/C=C\C=C/C(/NC(/C=C\C=1)=2)=3)))
METHYLENETETRAHYDROMETHANOPTERIN	C[C@H]4([C@@H]3([C@@H](C)N(C2(\C=C/C(\C[C@H](O)[C@H](O)[C@H](O)CO[C@@H]1([C@H](O)[C@@H]([C@@H](COP([O-])(=O)O[C@H](C(=O)[O-])CCC(=O)[O-])O1)O))=C\C=2))CN3C5(\C(=O)NC(/N)=N/C(\N4)=5)))
THF	C(NC1(\C=C/C(/C(=O)N[C@H](C(=O)[O-])CCC([O-])=O)=C\C=1))[C@H]2(CNC3(/N=C(N)\NC(=O)C(/N2)=3))
DIHYDRO-THYMINE	CC1(C(NC(=O)NC1)=O)
DI-H-URACIL	C1(NC(CCN1)=O)=O
DIMETHYLBENZIMIDAZOLE	CC1(\C(/C)=C/C2(/N\C=N/C(\C=1)=2))
CPD-18276	CC1(/C=C\C(\CO)=C/C(/O)=1)
CPD-8999	CSCCC(=O)C(=O)COP([O-])(=O)[O-]
CPD-1063	CSC[C@@H](O)[C@@H](O)C(=O)COP([O-])(=O)[O-]
5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	C(OP([O-])(=O)[O-])[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=[NH+]/C=C(N)\2))
AICAR	C(OP(=O)([O-])[O-])[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C(\C(=O)N)=C(N)\2))
PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE	C(OP(=O)([O-])[O-])[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C(\C(=O)[O-])=C(N)\2))
CPD-3762	C1(\N=C(C(\N=1)C(N)=O)\N)
CPD-1086	C(NC1(NC(NC(=O)C(N)=1)=O))[C@H](O)[C@H](O)[C@H](O)COP([O-])(=O)[O-]
CPD-602	C(OP(=O)([O-])[O-])[C@H]1(O[C@H]([C@H](O)[C@H](O)1)NC2(NC(=O)NC(=O)C(N)=2))
AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE	C(NC1(NC(NC(=O)C(N)=1)=O))[C@H](O)[C@H](O)[C@H](O)CO
5-AMINO-LEVULINATE	C(C(C[NH3+])=O)CC([O-])=O
CPD-12763	C([NH3+])CCCC=O
5-AMINOPENTANAMIDE	C(=O)(CCCC[NH3+])N
5-AMINOPENTANOATE	C(CC[NH3+])CC(=O)[O-]
CPD-21420	CC(C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])C(=O)CCC(=O)[O-]
CPD-784	C([O-])(=O)CC(/C([O-])=O)=C\C=C(C([O-])=O)/O
CPD-19731	C(=O)([O-])CC(=O)CC(Cl)C(=O)[O-]
CPD-10633	C1(\C(\OC(=O)\C=1)=C(C(=O)[O-])/Cl)
CPD-10634	C(=O)([O-])\C=C/C(=O)C(Cl)C(=O)[O-]
CPD-15687	CCCCCC/C=C/C=C\CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
5-KETO-4-DEOXY-D-GLUCARATE	C(C(C[C@@H]([C@H](C([O-])=O)O)O)=O)([O-])=O
CPD-15199	C[C@H]1(O[C@@H]([C@@H]([C@@H]1O)O)OP([O-])([O-])=O)
3-ENOLPYRUVYL-SHIKIMATE-5P	C=C(C(=O)[O-])O[C@@H]1(CC(/C(=O)[O-])=C\[C@@H](OP(=O)([O-])[O-])[C@@H](O)1)
CPD-15121	C1(/NC(=O)/N=C(C(/F)=1)/N)
CPD0-1327	C1(/NC(=O)NC(=O)C(/F)=1)
PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE	C(OP(=O)([O-])[O-])[C@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(\C=N/C(\C(=O)N)=C(NC=O)\2))
CPD-824	C(C(CCCNC(N)=[NH2+])=O)(=O)[O-]
CPD-13755	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC[C@@H]1([C@H](O)CC[C@]2(C)(C(=O)CC[C@@H]12)))COP(=O)(OP(=O)(OC[C@@H]3([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O3)N4(C5(\N=C/N=C(C(\N=C/4)=5)/N))))[O-])[O-]
CPD-15158	C([C@@H]2([C@H]([C@@H](O)[C@H](N1(C(/N=C(C(/O)=C\1)/N)=O))O2)O))OP([O-])([O-])=O
